,frequency,place_name,yr,period,index_nsa,Pct_change
1662,monthly,New England Division,2016,7,229.25,0.0024048972452994644
1663,monthly,New England Division,2016,8,229.78,0.0023118865866957883
1664,monthly,New England Division,2016,9,229.67,-0.00047871877448002476
1665,monthly,New England Division,2016,10,230.08,0.001785170026559868
1666,monthly,New England Division,2016,11,230.31,0.000999652294853881
1667,monthly,New England Division,2016,12,228.38,-0.008380009552342527
1668,monthly,New England Division,2017,1,229.13,0.0032840003502934145
1669,monthly,New England Division,2017,2,229.54,0.0017893772094443872
1670,monthly,New England Division,2017,3,233.91,0.019038076152304573
1671,monthly,New England Division,2017,4,237.18,0.013979735795818904
1672,monthly,New England Division,2017,5,239.39,0.009317817691204988
1673,monthly,New England Division,2017,6,242.43,0.012698943147165798
1674,monthly,New England Division,2017,7,243.9,0.006063605989357734
1675,monthly,New England Division,2017,8,243.04,-0.003526035260352667
1676,monthly,New England Division,2017,9,242.56,-0.0019749835418038098
1677,monthly,New England Division,2017,10,243.72,0.004782321899736042
1678,monthly,New England Division,2017,11,242.77,-0.003897915640899363
1679,monthly,New England Division,2017,12,242.35,-0.0017300325410883888
1680,monthly,New England Division,2018,1,243.36,0.004167526304931002
1681,monthly,New England Division,2018,2,244.51,0.004725509533201722
1682,monthly,New England Division,2018,3,245.27,0.0031082573309886286
1683,monthly,New England Division,2018,4,250.22,0.020181840420760766
1684,monthly,New England Division,2018,5,253.84,0.01446726880345306
1685,monthly,New England Division,2018,6,255.21,0.0053971005357704716
1686,monthly,New England Division,2018,7,255.23,7.836683515538567e-05
1687,monthly,New England Division,2018,8,255.79,0.0021940994397211533
1688,monthly,New England Division,2018,9,254.78,-0.0039485515461902265
1689,monthly,New England Division,2018,10,255.72,0.003689457571237842
1690,monthly,New England Division,2018,11,255.63,-0.00035194744251521026
1691,monthly,New England Division,2018,12,255.76,0.0005085475100732317
1692,monthly,New England Division,2019,1,254.12,-0.006412261495151617
1693,monthly,New England Division,2019,2,256.14,0.007949000472217804
1694,monthly,New England Division,2019,3,256.09,-0.00019520574685727432
